2	2	1	1	1	1
1	2	2	1	1	0
1	2	2	1	1	0
3	2	0	1	2	1
1	2	5	1	3	0
1	2	8	2	4	0
2	2	2	3	5	1
3	1	1	4	5	0
2	2	2	11	5	1
3	2	0	5	5	1
1	2	5	3	6	1
1	2	6	7	7	0
3	0	0	6	5	0
1	2	4	1	3	1
2	2	1	2	4	1
1	2	6	3	5	0
2	2	2	3	6	1
3	2	0	3	5	1
1	2	9	3	5	0
4	2	0	0	5	0
1	1	6	3	5	0
1	2	4	3	5	0
2	2	1	0	5	1
1	2	3	1	8	0
3	2	1	1	2	1
3	2	3	5	5	1
1	2	4	1	3	1
1	2	5	2	4	0
1	2	5	3	5	1
1	2	7	3	5	0
2	2	0	7	5	1
1	2	5	1	3	0
1	2	3	1	9	0
1	1	0	6	5	0
2	2	1	3	5	1
1	2	4	1	9	1
2	2	2	1	9	1
1	2	5	1	9	0
2	1	1	3	10	0
1	1	23	3	5	0
1	1	5	2	4	0
1	1	3	2	4	0
2	2	1	1	1	1
1	2	3	1	2	0
1	2	3	1	8	0
1	2	3	1	8	0
1	1	3	3	5	0
3	2	0	7	5	1
2	2	1	7	7	1
2	0	2	8	5	0
1	1	3	8	5	0
1	2	3	1	2	0
1	2	6	3	5	0
1	2	6	3	5	0
1	2	3	1	8	0
1	1	2	3	5	0
1	1	3	9	5	0
1	2	5	7	7	1
1	2	5	7	7	1
1	2	4	3	5	0
1	1	6	8	5	0
2	2	0	4	5	1
1	1	3	3	5	0
2	2	1	2	4	1
0	2	0	0	0	0
2	2	1	1	8	1
1	1	6	10	1	0
2	2	1	3	6	1
2	2	0	2	4	1
1	2	5	7	5	1
2	2	0	3	5	1
1	2	5	3	5	1
1	1	5	3	5	0
2	2	2	1	11	1
1	2	5	3	5	1
1	2	5	3	5	1
1	2	6	7	5	0
